Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,C1713
"C10(P49)1, C12(P33)1, C13(P23)1, C15(P50)1, C1_OU1, C1_OU2, C1_OU3, C1_OU4, C1_OU5, C1_OU6, C2_OU1, C2_OU2, C2_OU3, C2_OU4, C2_OU5, C2_OU6, C3, C4, C5, C6(P10)1, C7(P1)1, C8(P22)1, C9(P42)1",0402,23,100nF,C1525
"C11(P43n44)1, C14(P45)1",0402,2,1uF,C14445
"C6, C7",0402,2,35pF,C541436
"H1, H2, H3, H4",MountingHole_2.5mm_Pad,4,MountingHole_Pad,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,C429954
"J2, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,C2691448
J3,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,C492423
"JR1_OU1, JR1_OU2, JR1_OU3, JR1_OU4, JR1_OU5, JR1_OU6",OPTO-TH_ZGY135-T9-PLR,6,ZGY135/T9(PLR),C277779
"JT1_OU1, JT1_OU2, JT1_OU3, JT1_OU4, JT1_OU5, JT1_OU6",OPTO-TH_ZGY135-T9-PLR,6,ZGY133/T9(PLT),C277781
"L1_OU1, L1_OU2, L1_OU3, L1_OU4, L1_OU5, L1_OU6",0603,6,47uH,C223244
R1,0402,1,1M,C2906900
"R2, R3",0402,2,27,C25100
"R4, R7",0402,2,10K,C60490
"R5, R6",0402,2,1K,C140196
RP_USB1,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,C319160
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOT-666,1,USBLC6-2P6,C2827693
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U5,SOT-23-5,1,AP2112K-3.3,C51118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
