Designator,Mid X,Mid Y,Rotation,Layer
C1,158.512174,-83.354654,270.0,top
C10(P49)1,153.129341,-96.38916,270.0,bottom
C11(P43n44)1,154.701271,-96.871552,0.0,bottom
C12(P33)1,156.099483,-99.726088,90.0,bottom
C13(P23)1,155.086491,-104.4377,315.0,top
C14(P45)1,156.686665,-94.383775,0.0,top
C15(P50)1,151.089206,-88.57268,135.0,top
C1_OU1,138.43,-107.978,270.0,top
C1_OU2,138.684,-142.268,270.0,top
C1_OU3,185.448,-141.224,0.0,top
C1_OU4,204.978,-131.29,90.0,top
C1_OU5,204.883501,-101.5795,90.0,top
C1_OU6,178.534,-93.472,180.0,top
C2,161.32136,-89.653873,270.0,top
C2_OU1,138.43,-97.762,90.0,top
C2_OU2,138.684,-132.052,90.0,top
C2_OU3,175.232,-141.224,180.0,top
C2_OU4,204.978,-141.506,270.0,top
C2_OU5,204.883501,-111.7955,270.0,top
C2_OU6,188.75,-93.472,0.0,top
C3,158.263153,-106.955777,315.0,top
C4,161.598939,-109.161549,90.0,top
C5,141.422061,-87.310397,225.0,top
C6,154.597626,-110.470019,0.0,top
C6(P10)1,152.034308,-99.829796,90.0,bottom
C7,157.276831,-108.192976,270.0,top
C7(P1)1,151.685218,-97.923238,225.0,bottom
C8(P22)1,154.670968,-101.027464,0.0,bottom
C9(P42)1,156.731243,-97.710964,315.0,bottom
J1,163.765323,-83.39391,0.0,top
J2,139.873475,-81.510483,270.0,top
J3,156.464,-120.904,90.0,top
J4,168.656,-93.736,180.0,top
JR1_OU1,130.207499,-109.2275,90.0,top
JR1_OU2,130.461499,-143.5175,90.0,top
JR1_OU3,186.6975,-149.4465,180.0,top
JR1_OU4,213.2005,-130.0405,270.0,top
JR1_OU5,213.106001,-100.33,270.0,top
JR1_OU6,177.2845,-85.249499,0.0,top
JT1_OU1,130.207499,-96.5275,90.0,top
JT1_OU2,130.461499,-130.8175,90.0,top
JT1_OU3,173.9975,-149.446499,180.0,top
JT1_OU4,213.200499,-142.7405,270.0,top
JT1_OU5,213.106,-113.03,270.0,top
JT1_OU6,189.9845,-85.2495,0.0,top
L1_OU1,138.43,-105.435501,270.0,top
L1_OU2,138.684,-139.725501,270.0,top
L1_OU3,182.905501,-141.224,0.0,top
L1_OU4,204.978,-133.832499,90.0,top
L1_OU5,204.883501,-104.121999,90.0,top
L1_OU6,181.076499,-93.472,180.0,top
R1,157.327362,-80.606118,270.0,top
R2,151.800561,-85.09,90.0,top
R3,153.035,-85.09,90.0,top
R4,140.140015,-84.584527,90.0,top
R5,153.163707,-105.520206,90.0,top
R6,138.887758,-89.335336,90.0,top
R7,140.603839,-86.427774,45.0,top
RP_USB1,152.115,-79.13,180.0,top
U1,154.050703,-99.0,90.0,top
U3,155.266923,-85.116162,0.0,top
U4,143.96499,-89.984938,315.0,top
U5,158.520588,-87.601856,90.0,top
Y1,154.6149,-108.196724,0.0,top
